species,scientific_name,habitat,distribution,conservation_status,ecological_importance,description
Dogwood,Cornus florida,Forests,North America,Least Concern,Understory habitat,"Cornus is a genus of about 30–60 species of woody plants in the family Cornaceae, commonly known as dogwoods. Most are deciduous trees or shrubs, but a few species are nearly herbaceous perennial subshrubs, and a few of the woody species are evergreen. Several species have small heads of inconspicuous flowers surrounded by an involucre of large, typically white petal-like bracts, while other species have more open clusters of small flowers. Dogwoods are found across the Northern Hemisphere and are popular in landscaping for their attractive flowers, berries, and bark. The wood of some species is extremely hard and dense, and has historically been used to make daggers, tool handles, and shuttles for weaving."
Wisteria,Wisteria sinensis,Gardens,Asia,Common,Ornamental,"Wisteria is a genus of flowering plants in the legume family, Fabaceae (Leguminosae), that includes ten species of woody climbing bines (twining vines) that are native to China, Korea, Japan, and the Eastern United States. Some species are popular ornamental plants. An aquatic flowering plant with the common name wisteria or 'water wisteria' is in fact Hygrophila difformis, in the family Acanthaceae. Wisteria vines climb by twining their stems clockwise or counter-clockwise around any available support. They can reach heights of 20 m (66 ft) above the ground and spread 10 m (33 ft) laterally. The world's largest known wisteria is in Sierra Madre, California, measuring more than 1 acre (0.40 ha) in size and weighing 250 tons."
Rhododendron,Rhododendron,"Mountains, forests",Worldwide,Varies,Habitat,"Rhododendron is a very large genus of about 1,024 species of woody plants in the heath family (Ericaceae), either evergreen or deciduous, and found mainly in Asia, although it is also widespread throughout the Southern Highlands of the Appalachian Mountains of North America. It is the national flower of Nepal as well as the state flower of West Virginia and Washington. Most species have showy flowers which bloom from late winter through early summer. Azaleas make up two subgenera of Rhododendron. They are distinguished from 'true' rhododendrons by having only five anthers per flower. Rhododendrons vary in size from small shrubs to large trees. They are popular ornamental plants in gardens and landscapes."
Azalea,Rhododendron section Tsutsusi,Gardens,Asia,Common,Ornamental,"Azaleas are flowering shrubs in the genus Rhododendron, particularly the former sections Tsutsusi (evergreen) and Pentanthera (deciduous). Azaleas bloom in the spring, their flowers often lasting several weeks. Shade tolerant, they prefer living near or under trees. They are part of the family Ericaceae. Azaleas are distinguished from 'true' rhododendrons by having only five anthers per flower, whereas rhododendrons have ten or more. They are popular ornamental plants and are often used in landscaping for their vibrant and profuse blooms. There are thousands of cultivars of azaleas, with a wide range of flower colors including white, pink, red, and purple."
Lily of the Valley,Convallaria majalis,Woodlands,Eurasia,Least Concern,Fragrance,"Lily of the valley (Convallaria majalis), sometimes written lily-of-the-valley, is a highly poisonous woodland flowering plant with sweetly scented, pendent, bell-shaped white flowers borne in sprays in spring. It is native throughout the cool temperate Northern Hemisphere in Asia and Europe. It is the only species in the genus Convallaria in the flowering plant family Asparagaceae. All parts of the plant, including the berries, are highly poisonous if ingested, containing over 38 different cardiac glycosides. Despite its toxicity, it is a popular garden plant and is often used in perfumes for its delicate fragrance. It is also a symbol of humility and purity in various cultures."
Fern,Polypodiopsida,Damp forests,Worldwide,Least Concern,Ecosystem ancient,"A fern (Polypodiopsida) is a member of a group of vascular plants (plants with xylem and phloem) that reproduce via spores and have neither seeds nor flowers. They differ from mosses by being vascular, i.e., having specialized tissues that conduct water and nutrients and in having life cycles in which the branched sporophyte is the dominant phase. Ferns have complex leaves called fronds, each frond being a megaphyll, which is more complex than the microphyll of a clubmoss. Most ferns are leptosporangiate ferns. They appear in the fossil record 360 million years ago in the late Devonian period, but many of the current families and species did not appear until roughly 145 million years ago in the early Cretaceous."
Marigold,Tagetes,Gardens,Worldwide,Common,Pest repellent,"Tagetes is a genus of annual or perennial, mostly herbaceous plants in the sunflower family Asteraceae. They are among several groups of plants known in English as marigolds. The genus Tagetes was described by Carl Linnaeus in 1753. The plants are native to the Americas, growing naturally from the southwestern United States into Mexico and south through Central and South America. Marigolds are recorded in many cultures as being used for food, medicine, and ritual. They are very popular in gardens for their bright orange and yellow flowers and their ability to repel certain pests. The pungent scent of the leaves and flowers is a natural deterrent for many insects and soil-borne nematodes."
Daffodil,Narcissus,"Woodlands, gardens","Europe, North Africa",Least Concern,Biodiversity,"Narcissus is a genus of predominantly spring perennial plants in the amaryllis family, Amaryllidaceae. Various common names including daffodil, narcissus and jonquil are used to describe all or some members of the genus. Narcissus has conspicuous flowers with six petal-like tepals surmounted by a cup- or trumpet-shaped corona. The flowers are generally white or yellow (also orange or pink in garden varieties), with either uniform or contrasting coloured tepals and corona. Narcissus were well known in ancient civilisation, both medicinally and botanically, but formally described by Linnaeus in his Species Plantarum (1753). The species are native to meadows and woods in Europe, North Africa and the Western Mediterranean, with a center of diversity in the Iberian Peninsula."
Tulip,Tulipa,Temperate,"Asia, Eurasia",Least Concern,Cultural value,"Tulips (Tulipa) are a genus of spring-blooming perennial herbaceous bulbiferous geophytes (having bulbs as storage organs). The flowers are usually large, showy and brightly colored, generally red, pink, yellow, or white (usually in warm colors). They often have a different colored blotch at the base of the tepals (petals and sepals, collectively), internally. Because of a degree of variability within the populations, and a long history of cultivation, classification has been complex and controversial. The tulip is a member of the lily family, Liliaceae, along with 14 other genera, where it is most closely related to Amana, Erythronium and Gagea. There are about 75 species, and these are divided among four subgenera. Tulips are famous for the 'Tulip Mania' of the 17th century in the Netherlands."
Poppy,Papaver,Various,Worldwide,Least Concern,Medicinal/Ornamental,"A poppy is a flowering plant in the subfamily Papaveroideae of the family Papaveraceae. Poppies are herbaceous plants, often grown for their colourful flowers. One species of poppy, Papaver somniferum, is the source of the narcotic drug opium which contains powerful medicinal alkaloids such as morphine and has been used since ancient times as an analgesic and narcotic medicinal and recreational drug. It also produces edible seeds. Following the trench warfare in the poppy fields of Flanders, Belgium during World War I, poppies have become a symbol of remembrance of soldiers who have died during wartime. Poppies have a cup-shaped flower with four to six petals and a prominent center. They come in many colors including red, orange, and white."
Bluebell,Hyacinthoides non-scripta,Woodlands,Western Europe,Least Concern,Nectar source,"Hyacinthoides non-scripta (formerly Endymion non-scriptus or Scilla non-scripta) is a bulbous perennial plant, found in Atlantic areas from north-western Spain to the British Isles, and also frequently used as a garden plant. It is known in English as the common bluebell or simply bluebell, a name which is used in Scotland to refer to the harebell, Campanula rotundifolia. In spring, H. non-scripta produces a nodding, one-sided inflorescence of 5–12 tubular, sweet-scented violet-blue flowers. The common bluebell is a classic indicator species for ancient woodlands. It is protected under UK law, and it is illegal to dig up the bulbs in the wild. Bluebell woods are a famous sight in the British countryside during late spring."
Primrose,Primula vulgaris,"Woodlands, meadows",Europe,Least Concern,Spring food source,"Primula vulgaris, the common primrose, is a species of flowering plant in the family Primulaceae, native to western and southern Europe, northwest Africa, and parts of southwest Asia. The common name is primrose, or occasionally common primrose or English primrose to distinguish it from other Primula species also called primroses. It is a perennial plant growing 10–30 cm (4–12 in) tall, with a basal rosette of leaves which are more or less evergreen in favoured habitats. The delicately scented flowers are a pale yellow, with a darker yellow centre. They among the first flowers to bloom in the spring, often appearing in woodlands and hedgerows. The name 'primrose' derives from the Latin prima rosa, meaning 'first rose'."
Forget-Me-Not,Myosotis,Wet soil,Worldwide,Least Concern,Biodiversity,"Myosotis is a genus of flowering plants in the family Boraginaceae. In the northern hemisphere they are colloquially and commonly known as forget-menots or scorpion grasses. The common name was calqued from the Old French ne m'oubliez pas and first used in English in c. 1398 via King Henry IV of England. Similar names and variations are found in many languages. Myosotis arvensis is the field forget-me-not and it is the most common species in the UK. They are small plants with clusters of tiny, star-shaped, vibrant blue flowers (though pink and white varieties exist) with yellow centers. They are often found in damp habitats and are popular as ornamental garden plants. They are a symbol of memory and faithfulness."
Foxglove,Digitalis purpurea,Forest edges,Europe,Least Concern,Medicinal,"Digitalis is a genus of about 20 species of herbaceous perennials, shrubs, and biennials commonly called foxgloves. The genus is native to Europe, western Asia, and northwestern Africa. The scientific name means 'finger-like' and refers to the ease with which a flower can be fitted over a human fingertip. The flowers are produced on a tall spike, are tubular, and are often spotted on the inside. They are well known as the source of the cardiac glycoside digitoxin (digoxin), which is used as a medication for heart failure. However, the entire plant is highly toxic if ingested and can be fatal. In the wild, they are often found in woodland clearings and on disturbed ground. They are popular as ornamental plants for their striking spikes of bell-shaped flowers."
Sunflower (Giant),Helianthus annuus,Fields,Worldwide,Least Concern,Pollinators,"The Giant Sunflower is a larger variety of the common sunflower (Helianthus annuus), specifically bred or selected for its enormous height and massive flower heads. Some varieties, such as 'Mammoth Russian' or 'Titan', can reach heights of 3 to 4.5 meters (10 to 15 feet) or more, with flower heads that can be over 30 cm (12 in) in diameter. Like other sunflowers, they are annual plants that are famous for heliotropism, where the young flower heads track the movement of the sun across the sky. They are grown for their impressive size, their edible seeds, and for attracting pollinators such as bees and birds. The seeds are a rich source of oil and protein and are used for human consumption, animal feed, and birdseed."
Sweet Pea,Lathyrus odoratus,Gardens,"Italy, Worldwide",Common,Ornamental,"Lathyrus odoratus, the sweet pea, is a flowering plant in the genus Lathyrus in the family Fabaceae (legumes), native to Sicily, southern Italy and the Aegean Islands. It is an annual climbing plant, growing to a height of 1–2 metres (3 ft 3 in – 6 ft 7 in), where suitable support is available. The leaves are pinnate with two leaflets and a terminal tendril, which twines around supporting plants and structures, helping the sweet pea to climb. In the wild plant the flowers are purple, 2–3.5 centimetres (0.8–1.4 in) broad; they are larger and very variable in colour in the many cultivars. Sweet peas are famous for their delicate, butterfly-like flowers and their intense, sweet fragrance. They are popular as garden plants and as cut flowers."
Peppermint,Mentha x piperita,Moist soil,"Europe, North America",Least Concern,Medicinal/Culinary,"Peppermint (Mentha x piperita, also known as Mentha balsamea Wild) is a hybrid mint, a cross between watermint (Mentha aquatica) and spearmint (Mentha spicata). Indigenous to Europe and the Middle East, the plant is now widely spread and cultivated in many regions of the world. It is occasionally found in the wild with its parent species. Peppermint is a perennial herbaceous plant with a strong, aromatic scent and a cool, refreshing taste. It is widely used in food, beverages, and traditional medicine. Peppermint oil is extracted from the leaves and is used for its flavor and for its potential therapeutic benefits, particularly for digestive issues. It contains menthol, which provides the characteristic cooling sensation."
Rosemary,Salvia rosmarinus,Mediterranean,Worldwide,Least Concern,Culinary herb,"Salvia rosmarinus, commonly known as rosemary, is a shrub with fragrant, evergreen, needle-like leaves and white, pink, purple, or blue flowers, native to the Mediterranean region. Until 2017, it was known by the scientific name Rosmarinus officinalis, now a synonym. It is a member of the sage family Lamiaceae, which includes many other medicinal and culinary herbs. The name 'rosemary' derives from Latin ros marinus ('dew of the sea'). The plant is sometimes also called anthos, from the ancient Greek word for 'flower'. Rosemary has a fibrous root system. It is used as a culinary herb to flavor a variety of dishes, particularly meats. It is also used in perfumes and for its potential health benefits, including improving memory and concentration."
Thyme,Thymus vulgaris,Mediterranean,Worldwide,Least Concern,Culinary/Pest control,"Thyme is the common name for any of several species of the culinary and medicinal herb Thymus, most commonly Thymus vulgaris. Thyme is of the genus Thymus of the mint family (Lamiaceae), and a relative of the oregano genus Origanum. Thymes are evergreen (or nearly so) herbaceous perennials with woody bases. They are native to temperate regions in the Mediterranean, Africa and Asia. The cultivars of T. vulgaris (Common Thyme) are common culinary herbs used to flavor dishes such as stews, soups, and meats. Thyme is also known for its antiseptic and antibacterial properties, primarily due to the presence of thymol. It has been used in traditional medicine and for preserving food for centuries."
Basol,Ocimum basilicum,Tropical,Worldwide,Least Concern,Culinary herb,"Basilicum, or Basil (Ocimum basilicum), is a culinary herb of the family Lamiaceae (mints). Basil is native to tropical regions from Central Africa to Southeast Asia. It is a tender plant, and is used in cuisines worldwide. Depending on the species and cultivar, the leaves may taste somewhat like anise, with a strong, pungent, often sweet smell. There are many varieties of basil, as well as several related species or species hybrids also called basil. The type used commonly as a flavor is typically called sweet basil (or Genovese basil), as opposed to Thai basil (O. basilicum var. thyrsiflora), lemon basil (O. x citriodorum), and holy basil (Ocimum tenuiflorum). Basil is a key ingredient in pesto and is often paired with tomatoes and garlic in Mediterranean dishes."
Sage,Salvia officinalis,Mediterranean,Worldwide,Least Concern,Medicinal/Culinary,"Salvia officinalis is a perennial, evergreen subshrub, with woody stems, grayish leaves, and blue to purplish flowers. It is a member of the mint family Lamiaceae and native to the Mediterranean region, though it has been naturalized in many places throughout the world. It has a long history of medicinal and culinary use, and in modern times as an ornamental garden plant. The common name 'sage' is also used for a number of related and unrelated species. Sage has a strong, aromatic flavor that is slightly peppery and earthy. It is commonly used in stuffing for poultry and in various meat dishes. It is also known for its potential health benefits, including antibacterial and antioxidant properties, and has been used traditionally to treat a variety of ailments."
Oregano,Origanum vulgare,Temperate,Worldwide,Least Concern,Culinary/Health,"Oregano (Origanum vulgare) is a species of flowering plant in the mint family Lamiaceae. It was native to the Mediterranean region, but widely naturalised throughout the temperate Northern Hemisphere. Oregano is a woody perennial plant, growing 20–80 cm (8–31 in) tall, with opposite leaves 1–4 cm (0.4–1.6 in) long. The flowers are purple, 3–4 mm (0.12–0.16 in) long, produced in erect spikes. Its name derives from the Greek origanon, meaning 'mountain joy'. Oregano is a staple culinary herb in Mediterranean and Mexican cuisines. It has a pungent, slightly bitter, and aromatic flavor that is particularly well-suited to tomato-based dishes, pizzas, and grilled meats. It is also known for its high levels of antioxidants and its antibacterial properties."
Dandelion,Taraxacum officinale,Various,Worldwide,Common,Early nectar source,"Taraxacum is a large genus of flowering plants in the family Asteraceae, which consists of species commonly known as dandelions. The genus is native to Eurasia and North America, but the two most common species worldwide, T. officinale and T. erythrospermum, were introduced from Europe and now propagate as wildflowers. Both species are edible in their entirety. The common name dandelion is a corruption of the French dent-de-lion, meaning 'lion's tooth', referring to the coarsely toothed leaves. Dandelions are famous for their bright yellow flower heads that turn into round, white, fuzzy seed heads (clocks). The seeds are dispersed by the wind. While often considered a weed in lawns and gardens, dandelions are important early-season food sources for bees and other pollinators."
Nettle,Urtica dioica,"Woodlands, waste ground",Worldwide,Least Concern,Biodiversity support,"Urtica dioica, often called common nettle, stinging nettle (although not all plants of this species sting) or nettle leaf, or just a nettle or stinger, is a herbaceous perennial flowering plant in the family Urticaceae. Originally native to Europe, much of temperate Asia and western North Africa, it is now found worldwide. The species is divided into six subspecies, several of which have separate biological names. The most well-known feature of the stinging nettle is the presence of stinging hairs (trichomes) on the leaves and stems. These hairs inject various chemicals, including histamine and formic acid, when touched, causing a painful sensation. Despite this, nettles are edible when cooked and are rich in vitamins and minerals. They have a long history of use in medicine and as a source of fiber for textiles."
Holly,Ilex aquifolium,Forests,"Europe, North Africa",Least Concern,Winter food for birds,"Ilex, or holly, is a genus of over 400 to 600 species of flowering plants in the family Aquifoliaceae, and the only living genus in that family. The species are evergreen or deciduous trees, shrubs, and climbers from tropics to temperate zones worldwide. The type species is Ilex aquifolium, the common European holly used in Christmas decorations and cards. Hollies are most easily recognized by their glossy, often spiny-edged leaves and their bright red (sometimes black or yellow) berries. The berries are an important food source for birds, although they are toxic to humans. Holly wood is hard and white and is used for various purposes, including furniture inlay and tool handles. In many cultures, holly is associated with protection and the winter season."
Ivy,Hedera helix,"Forests, walls","Europe, Asia",Least Concern,Late nectar source,"Hedera, commonly called ivy (plural ivies), is a genus of 12–15 species of evergreen climbing or ground-creeping woody plants in the family Araliaceae, native to western, central and southern Europe, Macaronesia, northwestern Africa and across central-southern Asia east to Japan and Taiwan. Ivies have two leaf types: palmately lobed juvenile leaves on creeping and climbing stems and unlobed cordate adult leaves on fertile flowering stems exposed to full sun, usually high in the crowns of trees or the tops of rock faces. They climb by means of aerial rootlets with adhering disks that grip the surface. Ivy is often used in landscaping for ground cover and for covering walls and fences. It is also traditionally associated with fidelity and eternity."
Mistletoe,Viscum album,Host trees,"Europe, Asia",Least Concern,Berry source for birds,"Mistletoe is the common name for several hundred species of parasitic plants in the order Santalales. They are hemiparasites, meaning they have their own chlorophyll and can perform some photosynthesis, but they obtain water and nutrients from the host trees or shrubs they grow on. They attach to their host by a specialized structure called a haustorium. Different species are found worldwide. The most famous is the European mistletoe (Viscum album), which is traditionally associated with Christmas and the custom of kissing under the mistletoe. Mistletoes produce berries that are a vital food source for many birds. The birds help disperse the seeds by eating the berries and then depositing the seeds on other trees in their droppings. Mistletoe is often considered a symbol of love and fertility."
Clover,Trifolium resupinatum,Grasslands,Worldwide,Least Concern,Nitrogen fixation,"Clover or trefoil are common names for plants of the genus Trifolium, consisting of about 300 species of flowering plants in the legume or pea family Fabaceae. The genus has a nearly cosmopolitan distribution with the highest diversity in the temperate Northern Hemisphere, but many species also occur in South America and Africa, including at high altitudes on mountains in the tropics. They are small annual, biennial, or short-lived perennial herbaceous plants. Clover leaves are typically trifoliate, meaning they have three leaflets (hence the name trefoil), although four-leaf clovers are a well-known symbol of good luck. Clovers are important forage crops for livestock and are also used as green manure to improve soil fertility, as they are capable of nitrogen fixation."
Elderberry,Sambucus nigra,Hedgerows,"Europe, North America",Least Concern,Wildlife food,"Sambucus is a genus of flowering plants in the family Adoxaceae. The various species are commonly called elder or elderberry. The genus was formerly placed in the honeysuckle family, Caprifoliaceae, but was reclassified due to genetic and morphological evidence. The genus occurs in temperate-to-subtropical regions of the world. More widespread in the Northern Hemisphere, its Southern Hemisphere occurrence is restricted to parts of Australasia and South America. Many species are widely cultivated for their ornamental leaves, flowers and fruit. The flowers are small, creamy-white, and fragrant, produced in large flat-topped clusters. The berries are dark purple or black and are used to make jams, jellies, wines, and syrups. Elderberry has a long history of use in traditional medicine for treating colds and flu."
Hawthorn,Crataegus,Hedgerows,Northern Hemisphere,Least Concern,Habitat/Food,"Crataegus, commonly called hawthorn, quickthorn, thornapple, May-tree, whitethorn, or hawberry, is a genus of several hundred species of shrubs and trees in the family Rosaceae, native to temperate regions of the Northern Hemisphere in Europe, Asia, North Africa, and North America. The name 'hawthorn' was originally applied to the species native to northern Europe, especially the common hawthorn C. monogyna, and the name is now applied to the entire genus and to the related Old World genus Rhaphiolepis. They are large shrubs or small trees, mostly growing to 5–15 m (16–49 ft) tall, with small pome fruit and thorny branches. The flowers are usually white or pink and are an important source of nectar for bees. The fruit, known as haws, are edible and are used in jellies and traditional medicine."
Rowan,Sorbus aucuparia,"Highlands, forests",Eurasia,Least Concern,Wildlife berries,"Rowans or mountain-ashes are shrubs or trees in the genus Sorbus of the rose family, Rosaceae. They are native throughout the cool temperate regions of the Northern Hemisphere, with the highest species diversity in the mountains of western China and the Himalaya, where numerous apomictic microspecies occur. The name rowan was originally applied to the species Sorbus aucuparia, and is also used for other species in Sorbus subgenus Sorbus. Rowans are related to the true ashes. They are distinguished by their compound leaves and their clusters of bright orange or red berries that appear in the autumn. The berries are a vital food source for birds, particularly thrashers and waxwings. In European mythology, the rowan tree was often considered to have protective properties against evil and witchcraft."
Hazel,Corylus avellana,Woodlands,"Europe, Asia",Least Concern,Nut production,"Hazel (Corylus) is a genus of deciduous trees and large shrubs native to the temperate Northern Hemisphere. The genus is usually placed in the birch family Betulaceae, though some botanists split the hazels (with the hornbeams and allied genera) into a separate family Corylaceae. The fruit of the hazel is the hazelnut, also called a cobnut or filbert nut according to the species. Hazelnuts are produced in commercial quantities in Turkey, Italy, Greece, Georgia, in south-central Spain, in the British Isles and in the American states of Oregon and Washington. They are widely used in the food industry, especially in chocolate and confectionery. Hazel trees are also known for their flexible branches, which have been used for centuries in hedging and for making tool handles and walking sticks."
Beech Tree,Fagus sylvatica,Temperate forests,Europe,Least Concern,Timber/Habitat,"Beech (Fagus) is a genus of deciduous trees in the family Fagaceae, native to temperate Europe, Asia, and North America. Recent classification systems for the genus recognize 10 to 13 species in two distinct sections, Fagus and Engleriana. The beech tree is known for its smooth, silver-grey bark and its large, spreading canopy of glossy green leaves that turn a beautiful golden-bronze in the autumn. The fruit of the beech is a small, triangular nut called a beechnut or beechmast, which is enclosed in a spiny husk. Beechnuts are an important food source for squirrels, birds, and other wildlife. Beech wood is hard, heavy, and strong, and is used for furniture, flooring, and charcoal. Beech forests are some of the most beautiful and iconic forests in Europe and North America."
Ash Tree,Fraxinus excelsior,Temperate forests,Europe,Least Concern,Timber,"Fraxinus, common name ash, is a genus of flowering plants in the olive and lilac family, Oleaceae. It contains 45–65 species of usually medium to large trees, mostly deciduous though a few subtropical species are evergreen. The genus is widespread across much of Europe, Asia, and North America. The leaves are opposite (rarely in whorls of three), and mostly pinnately compound, though simple in a few species. The seeds, popularly known as 'keys' or 'helicopter seeds', are a type of fruit known as a samara. Ash wood is hard, tough and very strong but elastic, and is extensively used for making tool handles, baseball bats, and other uses which require high strength and resilience. In many cultures, the ash tree has deep mythological significance, such as the World Tree Yggdrasil in Norse mythology."
Elm Tree,Ulmus,Various,Northern Hemisphere,Vulnerable,Habitat,"Elms are deciduous and semi-deciduous trees comprising the genus Ulmus in the plant family Ulmaceae. The genus first appeared in the Miocene geological period about 20 million years ago, originating in what is now central Asia. These trees flourished and spread over most of the Northern Hemisphere, inhabiting the temperate and tropical-montane regions of North America and Eurasia, presently ranging southwards into Central America and Indonesia. Elm trees are characterized by their alternate, simple leaves with asymmetrical bases and serrated edges. They produce distinctive, winged fruits called samaras. Many elm species were once common street and park trees but have been severely impacted by Dutch elm disease in the 20th century. Elm wood is hard and resistant to splitting, making it ideal for furniture and boat building."
Larch Tree,Larix decidua,"Mountains, forests",Europe,Least Concern,Timber,"Larches are deciduous conifers in the genus Larix, in the family Pinaceae. Growing from 20 to 45 m (66 to 148 ft) tall, they are native to much of the cooler temperate northern hemisphere, on lowlands in the north and high on mountains further south. Larches are among the dominant plants in the boreal forests of Siberia and Canada. Although they are conifers, larches are deciduous and lose their needles in the autumn after they turn a brilliant yellow. The needles are soft and green and are produced in clusters on short shoots. Larches produce small, woody cones. Larch wood is valued for its strength, durability, and resistance to decay, and is used for construction, fencing, and boat building. They are often among the first trees to colonize disturbed or cold areas."
Poplar Tree,Populus,Near water,Northern Hemisphere,Least Concern,Pioneer species,"Populus is a genus of 25–30 species of deciduous flowering plants in the family Salicaceae, native to most of the Northern Hemisphere. English names variously applied to different species include poplar, aspen, and cottonwood. Poplars are medium-sized to large trees that grow quickly and are often used as windbreaks and for timber. They have simple, alternate leaves that are often heart-shaped and have long, flattened stalks that allow the leaves to flutter in the wind. Many species are dioecious, meaning that male and female flowers are found on separate trees. The seeds are often attached to cotton-like hairs that help them disperse in the wind. Poplar wood is light and relatively soft, used for paper pulp, matches, and crates."
Cedar of Lebanon,Cedrus libani,Mountains,Middle East,Vulnerable,Cultural icon,"Cedrus libani, the cedar of Lebanon or Lebanese cedar, is a species of cedar native to the mountains of the Eastern Mediterranean basin. It is an evergreen conifer that can reach 40 m (130 ft) in height, with a massive trunk and a wide-spreading, flat-topped crown in older trees. The needles are produced in clusters on short shoots. The cones are large and barrel-shaped. The cedar of Lebanon has great historical and cultural significance; it is mentioned numerous times in the Bible and other ancient texts and is the national emblem of Lebanon, appearing on its flag. The wood is fragrant, durable, and highly prized for construction and shipbuilding since ancient times. Centuries of over-exploitation have greatly reduced its natural range, and it is now a protected species in many areas."
Monkey Puzzle Tree,Araucaria araucana,Mountains,"Chile, Argentina",Endangered,Ancient lineage,"Araucaria araucana (commonly called the monkey puzzle tree, monkey tail tree, piñonero, or Chile pine) is an evergreen tree native to central and southern Chile and western Argentina. It is the hardiest species in the conifer genus Araucaria. Because of the great age of this species, it is sometimes described as a living fossil. Its leaves are thick, tough, and scale-like, with sharp points, and cover the branches completely. It produces very large cones that can contain up to 200 large, edible seeds called piñones, which have been a staple food for the indigenous Mapuche people for centuries. The unusual name 'monkey puzzle' reportedly came from an observer in the 19th century who remarked that 'it would puzzle a monkey to climb that tree'. It is a popular ornamental tree in gardens with temperate climates."
Dragon Tree,Dracaena draco,Arid regions,Macaronesia,Endangered,Cultural/Medicinal,"Dracaena draco, the Canary Islands dragon tree or drago, is a subtropical tree-like plant in the genus Dracaena, native to the Canary Islands, Cape Verde, Madeira, and western Morocco. It is known for its umbrella-shaped crown of thick, sword-like leaves and its slow growth. Unlike most trees, it does not have annual rings and its age must be estimated by the frequency of its branching. When the bark or leaves are cut, they secrete a reddish resin known as 'dragon's blood', which has been used since ancient times for medicine, varnish, and incense. In its native habitat, it can live for hundreds or even thousands of years. It is an iconic symbol of the Canary Islands and is widely planted as an ornamental in warm climates around the world."
Prickly Pear,Opuntia,Arid/Semi-arid,Americas,Least Concern,Food/Habitat,"Opuntia, commonly called prickly pear, is a genus in the cactus family, Cactaceae. Prickly pears are also known as tuna (fruit), sabra, nopal (paddle, plural nopales) from the Nahuatl word nōpalli for the pads, or nostle, from the Nahuatl word nōchtli for the fruit; or paddle cactus. The genus is named for the Ancient Greek city of Opus, where, according to Theophrastus, an edible plant grew and could be propagated by letting its leaves strike root. The most common culinary species is the Indian fig opuntia (O. ficus-indica). Prickly pears have flat, fleshy pads (cladodes) that are covered in spines and smaller, hair-like prickles called glochids. They produce colorful flowers and edible fruits. They are native to the Americas but have been introduced to many other parts of the world."
Agave,Agave americana,Arid regions,Americas,Least Concern,Fiber/Sugar,"Agave is a genus of monocots native to the hot and arid regions of the Americas, although some Agave species are also native to tropical areas of South America. The genus is primarily known for its succulent and xerophytic species that typically form large rosettes of strong, fleshy leaves. Many species are monocarpic, meaning they bloom only once in their lifetime and then die. The flower spike can be several meters tall. Agaves are of great economic importance; they are used for fiber (sisal), as food, and for the production of alcoholic beverages such as tequila and mezcal. The heart of the plant, or piña, is roasted and fermented to produce these spirits. They are also popular as ornamental plants in arid landscapes and as indoor succulents."
Eucalyptus,Eucalyptus globulus,Various,"Australia, Worldwide",Least Concern,Timber/Oil,"Eucalyptus is a genus of over 700 species of flowering trees, shrubs or mallees in the myrtle family, Myrtaceae. Along with several other genera in the tribe Eucalypteae, including Corymbia, they are commonly known as eucalypts. Very few are native to areas outside Australia, with the greatest diversity being in the Australian continent. Eucalypts are among the fastest-growing trees in the world and are widely planted in the tropics and subtropics for timber, fuel, and paper pulp. They are also famous for their oil, which is extracted from the leaves and used in medicine and perfumes. Many species have a characteristic peeling bark and evergreen, aromatic leaves. They are a primary food source for koalas. Some species are notorious for their highly flammable oils, which can contribute to intense bushfires."
Magnolia (Star),Magnolia stellata,Gardens,Japan,Least Concern,Ornamental,"Magnolia stellata, sometimes called the star magnolia, is a slow-growing shrub or small tree native to Japan. It bears large, showy, white or pink star-shaped flowers in early spring, before the leaves appear. It is closely related to the Kobus magnolia (Magnolia kobus), and is treated by many botanists as a variety or even a cultivar of that. However, Magnolia stellata was accepted as a distinct species in 1998. The star magnolia is a popular ornamental plant in gardens for its delicate beauty and early bloom. It typically reaches a height of 1.5 to 2.5 meters. The flowers are slightly fragrant and have 12 to 18 thin, petal-like tepals."
Cherry Laurel,Prunus laurocerasus,"Gardens, forests","Europe, Asia",Least Concern,Hedge plant,"Prunus laurocerasus, also known as cherry laurel, common laurel and sometimes English laurel in North America, is an evergreen species of cherry (Prunus), native to regions bordering the Black Sea and southwest Asia, and eastern Europe. It is a large evergreen shrub or small tree, reaching 5 to 15 m (16 to 49 ft) tall. The leaves are dark green, leathery, and shiny. The small, white, fragrant flowers are produced in early spring. The fruit is a small cherry, which is black when ripe. All parts of the plant, especially the leaves and seeds, are poisonous to humans and pets, containing cyanogenic glycosides. It is widely used for hedges and screening in gardens."
Boxwood,Buxus sempervirens,"Woodlands, gardens","Europe, Africa",Least Concern,Landscaping,"Buxus is a genus of about seventy species in the family Buxaceae. Common names include box or boxwood. The boxes are native to western and southern Europe, southwest, southern and eastern Asia, Africa, Madagascar, northern South America, Central America, Mexico and the Caribbean, with the majority of species being tropical or subtropical. Only a few European and Asian species are frost-tolerant. They are slow-growing evergreen shrubs and small trees, growing to 2–12 m (7–40 ft) tall. The leaves are opposite, rounded to lanceolate, and entire. The wood is extremely hard and heavy and has been used for centuries for carving, woodblock printing, and making high-quality tool handles."
